時間,開盤價,最高價,最低價,收盤價,UB2.00,BBandMA16,LB2.00,外資持股,買賣超,投信持股,買賣超,成交量,MA5,MA10,主力持股,買賣超,,
2019-1-23,79.7,82.2,78.5,81.9,88.94,79.39,69.85,65532張,1492張,4713張,-347張,9613,9723,8675,4908張,964張,,
2019-1-24,81.9,84.6,81.1,84.6,89.51,80.04,70.57,65878張,404張,4919張,206張,5976,7963,8898,5872張,964張,,
2019-1-25,84.4,86.9,84.1,86.5,90.31,80.78,71.24,66873張,989張,4938張,19張,6881,8093,9323,6965張,1093張,,
2019-1-28,86.4,87.2,85.4,86,90.85,81.44,72.04,67049張,164張,4765張,-173張,3215,7960,9466,6979張,14張,,
2019-1-29,86,86.6,85,86.1,91.12,82.16,73.19,67287張,239張,4709張,-56張,2530,5643,8707,7097張,118張,,
2019-1-30,86.6,94.5,86.3,94.5,93.6,83.25,72.9,70539張,3175張,5111張,402張,18038,7328,8526,10647張,3550張,,
2019-2-11,98,99.2,95,96.7,96.09,84.53,72.96,69549張,-1101張,5014張,-97張,11802,8493,8228,9350張,-1297張,,
2019-2-12,95.8,99.4,95,99.4,98.85,85.93,73,71230張,1762張,4848張,-166張,6179,8353,8223,10448張,1098張,,
2019-2-13,101.5,101.5,95,95,99.59,87.14,74.68,69892張,-1353張,4327張,-521張,8265,9363,8662,9128張,-1320張,,
2019-2-14,95.5,96.7,94.7,95,99.96,88.31,76.66,69952張,30張,4138張,-189張,4943,9845,7744,8650張,-478張,,
2019-2-15,100,100.5,94.4,95.1,100.37,89.3,78.23,69964張,29張,2994張,-1144張,10052,8248,7788,7530張,-1120張,,
2019-2-18,95.5,95.6,92.6,93.4,100.87,89.69,78.52,69817張,-233張,2653張,-341張,5708,7029,7761,6816張,-714張,,
2019-2-19,93.9,95.2,91.8,92.1,101.14,90.08,79.01,69588張,-186張,2653張,0張,5902,6974,7663,5995張,-821張,,
2019-2-20,93.1,94.8,92.2,93.5,101.54,90.48,79.42,69366張,-280張,2728張,75張,5489,6419,7891,5563張,-432張,,
